ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date
535,109-TZ-T01,Pre-PQ Process,SCMS-23610,ASN-2167,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/15/2008
543,106-HT-T01,Pre-PQ Process,SCMS-23840,ASN-2504,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/20/2008
551,106-HT-T01,Pre-PQ Process,SCMS-24020,ASN-2865,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/23/2008
610,108-VN-T01,Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/1/2008
630,112-NG-T01,Pre-PQ Process,SCMS-26560,ASN-2366,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/2/2008
637,108-VN-T01,Pre-PQ Process,SCMS-26200,ASN-2563,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/3/2008
660,108-VN-T01,Pre-PQ Process,SCMS-27360,ASN-2767,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008
668,102-GY-T01,Pre-PQ Process,SCMS-27670,ASN-2255,Guyana,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,7/25/2008
670,110-ZM-T01,Pre-PQ Process,SCMS-27790,ASN-2641,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/31/2008
712,119-NA-T01,Pre-PQ Process,SCMS-28840,ASN-2450,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/26/2008
717,104-CI-T01,Pre-PQ Process,SCMS-29140,ASN-2472,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/27/2008
719,104-CI-T01,Pre-PQ Process,SCMS-29340,ASN-2921,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/3/2008
772,131-NG-T01,Pre-PQ Process,SCMS-30502,ASN-3653,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/6/2009
791,119-NA-T01,Pre-PQ Process,SCMS-31180,ASN-2717,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/24/2008
796,102-BW-T01,Pre-PQ Process,SCMS-31370,ASN-2796,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/2/2008
797,110-ZM-T01,Pre-PQ Process,SCMS-31380,ASN-3172,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/2/2008
849,102-GY-T01,Pre-PQ Process,SCMS-33930,ASN-3209,Guyana,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,11/19/2008
858,109-TZ-T01,Pre-PQ Process,SCMS-34680,ASN-3332,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/19/2008
914,104-CI-T01,Pre-PQ Process,SCMS-35790,ASN-3242,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/19/2008
937,111-MZ-T01,Pre-PQ Process,SCMS-36660,ASN-3509,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/5/2009
960,108-VN-T01,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009
961,108-VN-T01,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009
962,108-VN-T01,Pre-PQ Process,SCMS-37180,ASN-3521,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009
979,108-VN-T01,Pre-PQ Process,SCMS-31721,ASN-3454,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/21/2008
985,109-TZ-T01,Pre-PQ Process,SCMS-38370,ASN-3751,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,2/5/2009
986,109-TZ-T01,Pre-PQ Process,SCMS-38380,ASN-3627,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,2/5/2009
993,107-RW-T01,Pre-PQ Process,SCMS-38660,ASN-3710,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/18/2009
1037,123-NG-T01,Pre-PQ Process,SCMS-39640,ASN-4747,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/4/2009
1046,106-HT-T01,Pre-PQ Process,SCMS-40000,ASN-3675,Haiti,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/6/2009
1047,106-HT-T01,Pre-PQ Process,SCMS-40000,ASN-3675,Haiti,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/6/2009
1048,106-HT-T01,Pre-PQ Process,SCMS-40030,ASN-3750,Haiti,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,3/6/2009
1077,116-ZA-T01,Pre-PQ Process,SCMS-41462,ASN-4361,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,3/18/2009
1078,116-ZA-T01,Pre-PQ Process,SCMS-41460,ASN-4502,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,3/18/2009
1079,116-ZA-T01,Pre-PQ Process,SCMS-41464,ASN-4634,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,3/18/2009
1080,116-ZA-T01,Pre-PQ Process,SCMS-41480,ASN-5055,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,6/15/2009
1084,116-ZA-T01,Pre-PQ Process,SCMS-41581,ASN-4196,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,3/27/2009
1085,116-ZA-T01,Pre-PQ Process,SCMS-41589,ASN-4358,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,3/27/2009
1086,116-ZA-T01,Pre-PQ Process,SCMS-41584,ASN-4385,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,3/27/2009
1095,144-BW-T01,Pre-PQ Process,SCMS-41870,ASN-4896,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/25/2009
1109,104-CI-T01,Pre-PQ Process,SCMS-42210,ASN-4086,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,3/30/2009
1110,104-CI-T01,Pre-PQ Process,SCMS-42230,ASN-4423,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,3/30/2009
1111,116-ZA-T01,Pre-PQ Process,SCMS-47390,ASN-4402,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,4/2/2009
1114,116-ZA-T01,Pre-PQ Process,SCMS-47430,ASN-4244,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,4/2/2009
1115,116-ZA-T01,Pre-PQ Process,SCMS-47500,ASN-4332,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,4/2/2009
1122,106-HT-T01,Pre-PQ Process,SCMS-42720,ASN-4787,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/2/2009
1134,102-KE-T01,Pre-PQ Process,SCMS-42980,ASN-4343,Kenya,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/4/2009
1140,133-NG-T01,Pre-PQ Process,SCMS-43330,ASN-4437,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/9/2009
1156,107-RW-T01,Pre-PQ Process,SCMS-43890,ASN-4503,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,4/15/2009
1162,104-CI-T01,Pre-PQ Process,SCMS-44130,ASN-4791,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/15/2009
1179,108-VN-T01,Pre-PQ Process,SCMS-44990,ASN-4302,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,4/29/2009
1183,108-VN-T01,Pre-PQ Process,SCMS-45080,ASN-4420,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/29/2009
1196,102-BW-T01,Pre-PQ Process,SCMS-46071,ASN-4324,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/27/2009
1198,119-NA-T01,Pre-PQ Process,SCMS-46120,ASN-4659,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/18/2009
1213,108-VN-T01,Pre-PQ Process,SCMS-46550,ASN-4488,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/27/2009
1215,119-NA-T01,Pre-PQ Process,SCMS-46820,ASN-4311,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/2/2009
1221,116-ZA-T01,Pre-PQ Process,SCMS-46970,ASN-4821,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,6/5/2009
1222,116-ZA-T01,Pre-PQ Process,SCMS-47051,ASN-4838,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,6/5/2009
1223,116-ZA-T01,Pre-PQ Process,SCMS-47051,ASN-4836,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,6/5/2009
1245,100-CI-T01,Pre-PQ Process,SCMS-1,ASN-5,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/19/2006
1282,108-VN-T01,Pre-PQ Process,SCMS-169,ASN-272,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/15/2006
1283,108-VN-T01,Pre-PQ Process,SCMS-170,ASN-273,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/15/2006
1295,111-MZ-T01,Pre-PQ Process,SCMS-211,ASN-229,Mozambique,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,11/17/2006
1298,108-VN-T01,Pre-PQ Process,SCMS-262,ASN-386,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/9/2007
1299,107-RW-T01,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/22/2006
1300,107-RW-T01,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/22/2006
1303,117-ET-T01,Pre-PQ Process,SCMS-284,ASN-168,Ethiopia,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,12/14/2006
1306,108-VN-T01,Pre-PQ Process,SCMS-314,ASN-624,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/7/2007
1309,117-ET-T01,Pre-PQ Process,SCMS-360,ASN-201,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/14/2006
1337,104-CI-T01,Pre-PQ Process,SCMS-610,ASN-813,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/9/2007
1350,104-CI-T01,Pre-PQ Process,SCMS-698,ASN-727,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,7/13/2007
1356,108-VN-T01,Pre-PQ Process,SCMS-749,ASN-744,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/3/2007
1357,108-VN-T01,Pre-PQ Process,SCMS-749,ASN-744,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/3/2007
1358,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/2007
1359,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-782,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/2007
1360,108-VN-T01,Pre-PQ Process,SCMS-754,ASN-926,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/2007
1361,108-VN-T01,Pre-PQ Process,SCMS-757,ASN-631,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/3/2007
1502,107-RW-T01,Pre-PQ Process,SCMS-13900,ASN-990,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/12/2007
1512,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,11/12/2007
1513,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,11/12/2007
1519,108-VN-T01,Pre-PQ Process,SCMS-14170,ASN-1439,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,11/21/2007
1527,102-NG-T01,Pre-PQ Process,SCMS-14640,ASN-1167,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/30/2007
1529,107-RW-T01,Pre-PQ Process,SCMS-14750,ASN-1194,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/3/2007
1530,108-VN-T01,Pre-PQ Process,SCMS-14760,ASN-1230,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/5/2007
1531,100-KZ-T01,Pre-PQ Process,SCMS-14770,ASN-1061,Kazakhstan,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,11/30/2007
1587,116-ZA-T01,Pre-PQ Process,SCMS-16600,ASN-1520,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,1/4/2008
1593,102-BW-T01,Pre-PQ Process,SCMS-16730,ASN-1721,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/4/2008
1594,102-NG-T01,Pre-PQ Process,SCMS-16890,ASN-2014,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/29/2008
1618,111-MZ-T01,Pre-PQ Process,SCMS-17800,ASN-1368,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/19/2008
1628,110-ZM-T01,Pre-PQ Process,SCMS-18030,ASN-1619,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/25/2008
1634,110-ZM-T01,Pre-PQ Process,SCMS-18240,ASN-1789,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/29/2008
1637,104-CI-T01,Pre-PQ Process,SCMS-18320,ASN-3465,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/2008
1638,111-MZ-T01,Pre-PQ Process,SCMS-18340,ASN-1746,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/2008
1643,104-CI-T01,Pre-PQ Process,SCMS-18420,ASN-1469,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008
1644,104-CI-T01,Pre-PQ Process,SCMS-18450,ASN-1934,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008
1645,104-CI-T01,Pre-PQ Process,SCMS-18470,ASN-2887,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/29/2008
1646,102-GY-T01,Pre-PQ Process,SCMS-18490,ASN-1612,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008
1647,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2100,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008
1660,113-ZW-T01,Pre-PQ Process,SCMS-18870,ASN-2435,Zimbabwe,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/17/2008
1673,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/2008
1674,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/2008
1675,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/2008
1691,108-VN-T01,Pre-PQ Process,SCMS-20180,ASN-1860,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008
1693,108-VN-T01,Pre-PQ Process,SCMS-20340,ASN-1754,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008
1719,104-CI-T01,Pre-PQ Process,SCMS-21270,ASN-1668,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/7/2008
1722,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,4/4/2008
1723,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-2291,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,4/4/2008
1724,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,4/4/2008
1797,108-VN-T01,Pre-PQ Process,SCMS-23370,ASN-2523,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/13/2008
1798,108-VN-T01,Pre-PQ Process,SCMS-23470,ASN-2244,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/2008
1820,106-HT-T01,Pre-PQ Process,SCMS-23980,ASN-2640,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/23/2008
1861,107-RW-T01,Pre-PQ Process,SCMS-25090,ASN-2256,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/12/2008
1888,107-RW-T01,Pre-PQ Process,SCMS-25520,ASN-2079,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,6/13/2008
1889,107-RW-T01,Pre-PQ Process,SCMS-25520,ASN-2080,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,6/13/2008
1905,108-VN-T01,Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/1/2008
1919,108-VN-T01,Pre-PQ Process,SCMS-26190,ASN-2562,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/3/2008
1939,110-ZM-T01,Pre-PQ Process,SCMS-27010,ASN-2448,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/21/2008
1940,102-GY-T01,Pre-PQ Process,SCMS-27030,ASN-2638,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/21/2008
1941,133-NG-T01,Pre-PQ Process,SCMS-27060,ASN-2438,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/18/2008
1942,133-NG-T01,Pre-PQ Process,SCMS-27070,ASN-2352,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/21/2008
1954,108-VN-T01,Pre-PQ Process,SCMS-27290,ASN-2854,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/24/2008
1955,108-VN-T01,Pre-PQ Process,SCMS-27310,ASN-2809,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008
1956,108-VN-T01,Pre-PQ Process,SCMS-27350,ASN-2766,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008
1957,108-VN-T01,Pre-PQ Process,SCMS-27380,ASN-2873,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008
1971,102-GY-T01,Pre-PQ Process,SCMS-27680,ASN-2910,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/28/2008
1972,117-ET-T01,Pre-PQ Process,SCMS-27800,ASN-2592,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/30/2008
1973,117-ET-T01,Pre-PQ Process,SCMS-27800,ASN-2747,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/30/2008
2008,117-ET-T01,Pre-PQ Process,SCMS-28710,ASN-2576,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/22/2008
2146,117-ET-T01,Pre-PQ Process,SCMS-32630,ASN-3155,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/27/2008
2147,117-ET-T01,Pre-PQ Process,SCMS-32640,ASN-2935,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/27/2008
2148,113-ZW-T01,Pre-PQ Process,SCMS-32660,ASN-3228,Zimbabwe,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,10/28/2008
2153,108-VN-T01,Pre-PQ Process,SCMS-33070,ASN-2888,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/3/2008
2171,133-NG-T01,Pre-PQ Process,SCMS-33820,ASN-3665,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/20/2008
2173,141-NA-T01,Pre-PQ Process,SCMS-33850,ASN-3110,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/20/2008
2257,102-GY-T01,Pre-PQ Process,SCMS-36540,ASN-3166,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/23/2008
2295,119-NA-T01,Pre-PQ Process,SCMS-37060,ASN-3303,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/13/2009
2297,108-VN-T01,Pre-PQ Process,SCMS-37160,ASN-3561,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009
2298,108-VN-T01,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009
2305,131-NG-T01,Pre-PQ Process,SCMS-37370,ASN-3497,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2/3/2009
2328,106-HT-T01,Pre-PQ Process,SCMS-38160,ASN-3457,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/3/2009
2399,106-HT-T01,Pre-PQ Process,SCMS-39970,ASN-3628,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/6/2009
2417,111-MZ-T01,Pre-PQ Process,SCMS-40370,ASN-3857,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/11/2009
2441,114-UG-T01,Pre-PQ Process,SCMS-41240,ASN-3904,Uganda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/19/2009
